영역명,구분,혜택률_범용형최대,혜택률_특화형최대,혜택률_혼합형최대,월한도_실적40만,월한도_실적80만,월한도_실적120만,범용형_한도,업종매핑(내가정)
국내외 가맹점,청구할인 또는 적립(기본서비스 유형 택1),1.0%,0.8%,,,,,제한없음,전가맹점
간편결제,청구할인 또는 적립(기본서비스 유형 택1),1.2%,5.0%,5.0%,4000,6000,10000,통합 5만원,전가맹점
음식점 Day,청구할인 또는 적립(기본서비스 유형 택1),2.0%,5.0%,5.0%,4000,6000,10000,통합 5만원,음식
음식점 Night,청구할인 또는 적립(기본서비스 유형 택1),2.0%,5.0%,5.0%,4000,6000,10000,통합 5만원,음식
딜리버리,청구할인 또는 적립(기본서비스 유형 택1),3.0%,10.0%,10.0%,4000,6000,10000,통합 5만원,음식
하나페이 맛집,청구할인 또는 적립(기본서비스 유형 택1),3.0%,30.0%,20.0%,4000,8000,12000,통합 5만원,음식
패스트푸드,청구할인 또는 적립(기본서비스 유형 택1),4.0%,30.0%,20.0%,8000,12000,15000,통합 5만원,음식
베이커리,청구할인 또는 적립(기본서비스 유형 택1),4.0%,30.0%,20.0%,8000,12000,15000,통합 5만원,음식
커피,청구할인 또는 적립(기본서비스 유형 택1),4.0%,30.0%,20.0%,8000,12000,15000,통합 5만원,음식
쿠팡,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,5.0%,4000,6000,10000,통합 5만원,소매/유통
네이버플러스 스토어,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,5.0%,4000,6000,10000,통합 5만원,소매/유통
오픈마켓,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,10.0%,4000,8000,12000,통합 5만원,소매/유통
온라인식품&쇼핑,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,10.0%,4000,8000,12000,통합 5만원,소매/유통
신세계백화점,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,5.0%,4000,8000,12000,통합 5만원,소매/유통
롯데백화점,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,5.0%,4000,8000,12000,통합 5만원,소매/유통
현대백화점,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,5.0%,4000,8000,12000,통합 5만원,소매/유통
마트,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,5.0%,4000,8000,12000,통합 5만원,소매/유통
홈쇼핑,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,10.0%,4000,8000,12000,통합 5만원,소매/유통
슈퍼마켓,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,5.0%,4000,8000,12000,통합 5만원,소매/유통
아울렛,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,5.0%,4000,8000,12000,통합 5만원,소매/유통
온라인명품,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,10.0%,4000,8000,12000,통합 5만원,소매/유통
온라인패션,청구할인 또는 적립(기본서비스 유형 택1),2.0%,20.0%,10.0%,4000,8000,12000,통합 5만원,소매/유통
SPA브랜드,청구할인 또는 적립(기본서비스 유형 택1),2.0%,20.0%,10.0%,4000,8000,12000,통합 5만원,소매/유통
편의점,청구할인 또는 적립(기본서비스 유형 택1),3.0%,10.0%,10.0%,4000,8000,12000,통합 5만원,소매/유통
대중교통,청구할인 또는 적립(기본서비스 유형 택1),5.0%,10.0%,10.0%,4000,8000,12000,통합 5만원,생활서비스
병원/약국,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,5.0%,4000,6000,10000,통합 5만원,의료/건강
학원,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,5.0%,4000,6000,10000,통합 5만원,학문/교육
생활요금,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,5.0%,4000,6000,10000,통합 5만원,생활서비스
SKT 통신요금,청구할인 또는 적립(기본서비스 유형 택1),3.0%,10.0%,10.0%,8000,12000,15000,통합 5만원,미디어/통신
KT 통신요금,청구할인 또는 적립(기본서비스 유형 택1),3.0%,10.0%,5.0%,4000,8000,12000,통합 5만원,미디어/통신
LGU+ 통신요금,청구할인 또는 적립(기본서비스 유형 택1),3.0%,10.0%,5.0%,4000,8000,12000,통합 5만원,미디어/통신
T멤버십 바코드 결제,청구할인 또는 적립(기본서비스 유형 택1),2.0%,20.0%,5.0%,8000,12000,15000,통합 5만원,생활서비스
드럭스토어,청구할인 또는 적립(기본서비스 유형 택1),3.0%,20.0%,10.0%,8000,12000,15000,통합 5만원,소매/유통
세탁,청구할인 또는 적립(기본서비스 유형 택1),4.0%,30.0%,10.0%,8000,12000,15000,통합 5만원,생활서비스
인테리어,청구할인 또는 적립(기본서비스 유형 택1),3.0%,10.0%,10.0%,4000,8000,12000,통합 5만원,생활서비스
렌탈,청구할인 또는 적립(기본서비스 유형 택1),5.0%,30.0%,20.0%,4000,8000,12000,통합 5만원,생활서비스
뷰티&펫,청구할인 또는 적립(기본서비스 유형 택1),4.0%,20.0%,10.0%,4000,8000,12000,통합 5만원,생활서비스
SK주유&쇼핑,청구할인 또는 적립(기본서비스 유형 택1),3.0%,10.0%,5.0%,4000,8000,12000,통합 5만원,생활서비스
택시,청구할인 또는 적립(기본서비스 유형 택1),5.0%,20.0%,10.0%,4000,8000,12000,통합 5만원,생활서비스
주유/LPG충전,청구할인 또는 적립(기본서비스 유형 택1),3.0%,10.0%,5.0%,4000,8000,12000,통합 5만원,생활서비스
친환경 충전,청구할인 또는 적립(기본서비스 유형 택1),5.0%,40.0%,10.0%,4000,8000,12000,통합 5만원,생활서비스
차량정비 및 주차,청구할인 또는 적립(기본서비스 유형 택1),3.0%,20.0%,10.0%,4000,8000,12000,통합 5만원,생활서비스
카쉐어링,청구할인 또는 적립(기본서비스 유형 택1),3.0%,20.0%,10.0%,4000,8000,12000,통합 5만원,생활서비스
스포츠센터,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,10.0%,4000,8000,12000,통합 5만원,여가/오락
당구,청구할인 또는 적립(기본서비스 유형 택1),5.0%,30.0%,20.0%,8000,12000,15000,통합 5만원,여가/오락
웹툰/도서,청구할인 또는 적립(기본서비스 유형 택1),5.0%,30.0%,20.0%,8000,12000,15000,통합 5만원,여가/오락
영화,청구할인 또는 적립(기본서비스 유형 택1),5.0%,30.0%,20.0%,8000,12000,15000,통합 5만원,여가/오락
골프,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,10.0%,4000,8000,12000,통합 5만원,여가/오락
숙박,청구할인 또는 적립(기본서비스 유형 택1),2.0%,20.0%,10.0%,4000,8000,12000,통합 5만원,여가/오락
면세점,청구할인 또는 적립(기본서비스 유형 택1),2.0%,20.0%,10.0%,4000,8000,12000,통합 5만원,소매/유통
항공권,청구할인 또는 적립(기본서비스 유형 택1),2.0%,20.0%,10.0%,4000,8000,12000,통합 5만원,여가/오락
철도/시외·고속버스,청구할인 또는 적립(기본서비스 유형 택1),3.0%,20.0%,10.0%,4000,8000,12000,통합 5만원,생활서비스
해외,청구할인 또는 적립(기본서비스 유형 택1),2.0%,10.0%,5.0%,4000,8000,12000,통합 5만원,여가/오락
디지털 멤버십,청구할인 또는 적립(기본서비스 유형 택1),5.0%,50.0%,20.0%,8000,12000,15000,통합 5만원,미디어/통신
영상 스트리밍,청구할인 또는 적립(기본서비스 유형 택1),5.0%,50.0%,20.0%,8000,12000,15000,통합 5만원,미디어/통신
뮤직,청구할인 또는 적립(기본서비스 유형 택1),5.0%,50.0%,20.0%,8000,12000,15000,통합 5만원,미디어/통신
