항목,시나리오,배분,카드사_월최대부담(원),f_blended(혼합수수료율),손익분기 필요 월소비액 S_total(원),비고
1. 카드사 월 최대 부담,"통합한도(C~F 합산 L=50,000원) — 공시 구조",배분 무관,50000.0,,,네 영역 적립 합계가 L을 넘을 수 없으므로 배분과 무관하게 상한이 L로 고정
1. 카드사 월 최대 부담,"가정 대조: 영역별 개별한도(각 50,000원) — 실제 공시 아님",네 영역 모두 한도 소진 시,200000.0,,,"영역 4개 × 50,000원 = 통합한도 대비 4배"
2. 배분 코너케이스(한 영역에 전액),"C. 장보기 쇼핑 100% (f=1.15%, r=2.0%)",C=100%,50000.0,0.0115,13043478.260869566,S=(1+t)/t·L/f — 부담은 같아도 f가 다르면 S가 달라진다
2. 배분 코너케이스(한 영역에 전액),"D. 딜리버리 100% (f=0.40%, r=2.0%)",D=100%,50000.0,0.004,37500000.0,S=(1+t)/t·L/f — 부담은 같아도 f가 다르면 S가 달라진다
2. 배분 코너케이스(한 영역에 전액),"E. 대중교통 100% (f=0.40%, r=3.0%)",E=100%,50000.0,0.004,37500000.0,S=(1+t)/t·L/f — 부담은 같아도 f가 다르면 S가 달라진다
2. 배분 코너케이스(한 영역에 전액),"F. 택시 100% (f=0.40%, r=3.0%)",F=100%,50000.0,0.004,37500000.0,S=(1+t)/t·L/f — 부담은 같아도 f가 다르면 S가 달라진다
3. 배분 스윕(지출 비중),C(장보기·f=1.15%) 비중 0% / D·E·F(f=0.40%) 100%,C=0%,50000.0,0.004,37500000.0,"부담은 L로 고정, S_total은 f_blended를 통해 배분에 의존"
3. 배분 스윕(지출 비중),C(장보기·f=1.15%) 비중 10% / D·E·F(f=0.40%) 90%,C=10%,50000.0,0.004750000000000001,31578947.368421048,"부담은 L로 고정, S_total은 f_blended를 통해 배분에 의존"
3. 배분 스윕(지출 비중),C(장보기·f=1.15%) 비중 20% / D·E·F(f=0.40%) 80%,C=20%,50000.0,0.0055,27272727.272727273,"부담은 L로 고정, S_total은 f_blended를 통해 배분에 의존"
3. 배분 스윕(지출 비중),C(장보기·f=1.15%) 비중 30% / D·E·F(f=0.40%) 70%,C=30%,50000.0,0.00625,24000000.0,"부담은 L로 고정, S_total은 f_blended를 통해 배분에 의존"
3. 배분 스윕(지출 비중),C(장보기·f=1.15%) 비중 40% / D·E·F(f=0.40%) 60%,C=40%,50000.0,0.006999999999999999,21428571.42857143,"부담은 L로 고정, S_total은 f_blended를 통해 배분에 의존"
3. 배분 스윕(지출 비중),C(장보기·f=1.15%) 비중 50% / D·E·F(f=0.40%) 50%,C=50%,50000.0,0.00775,19354838.70967742,"부담은 L로 고정, S_total은 f_blended를 통해 배분에 의존"
3. 배분 스윕(지출 비중),C(장보기·f=1.15%) 비중 60% / D·E·F(f=0.40%) 40%,C=60%,50000.0,0.0085,17647058.82352941,"부담은 L로 고정, S_total은 f_blended를 통해 배분에 의존"
3. 배분 스윕(지출 비중),C(장보기·f=1.15%) 비중 70% / D·E·F(f=0.40%) 30%,C=70%,50000.0,0.00925,16216216.216216218,"부담은 L로 고정, S_total은 f_blended를 통해 배분에 의존"
3. 배분 스윕(지출 비중),C(장보기·f=1.15%) 비중 80% / D·E·F(f=0.40%) 20%,C=80%,50000.0,0.01,15000000.0,"부담은 L로 고정, S_total은 f_blended를 통해 배분에 의존"
3. 배분 스윕(지출 비중),C(장보기·f=1.15%) 비중 90% / D·E·F(f=0.40%) 10%,C=90%,50000.0,0.01075,13953488.372093024,"부담은 L로 고정, S_total은 f_blended를 통해 배분에 의존"
3. 배분 스윕(지출 비중),C(장보기·f=1.15%) 비중 100% / D·E·F(f=0.40%) 0%,C=100%,50000.0,0.0115,13043478.260869566,"부담은 L로 고정, S_total은 f_blended를 통해 배분에 의존"
