구분,업종,월추정매출액(원),카드1장당_월평균지출(원),근거
업종대분류(실측),소매/유통,2476644199323.5,194443.59200273416,outputs/tables/segment_industry_amt.csv / N=이용건수÷15(config 가정치)
업종대분류(실측),음식,1217212289136.25,95564.44554860663,outputs/tables/segment_industry_amt.csv / N=이용건수÷15(config 가정치)
업종대분류(실측),의료/건강,1014311693549.0,79634.53497192565,outputs/tables/segment_industry_amt.csv / N=이용건수÷15(config 가정치)
업종대분류(실측),생활서비스,952356848783.0,74770.40367621373,outputs/tables/segment_industry_amt.csv / N=이용건수÷15(config 가정치)
업종대분류(실측),학문/교육,270121230759.75,21207.46387368524,outputs/tables/segment_industry_amt.csv / N=이용건수÷15(config 가정치)
업종대분류(실측),여가/오락,150980617761.5,11853.625824959774,outputs/tables/segment_industry_amt.csv / N=이용건수÷15(config 가정치)
업종대분류(실측),미디어/통신,117502721273.25,9225.245677480718,outputs/tables/segment_industry_amt.csv / N=이용건수÷15(config 가정치)
업종대분류(실측),공공/기업/단체,88145003457.5,6920.34451054832,outputs/tables/segment_industry_amt.csv / N=이용건수÷15(config 가정치)
업종대분류(실측),공연/전시,15175727605.25,1191.4601974824982,outputs/tables/segment_industry_amt.csv / N=이용건수÷15(config 가정치)
업종대분류(실측),전체(9개 업종 합),6302450331649.0,494811.1162836367,outputs/tables/segment_industry_amt.csv / N=이용건수÷15(config 가정치)
업종중분류(신규가정 대리지표),종합소매점,1238365878002.0,97225.23307873671,data/processed/02_cleaned.parquet 재집계(03_segment.py와 동일 필터)
업종중분류(신규가정 대리지표),연료판매,556849116650.75,43718.73136831567,data/processed/02_cleaned.parquet 재집계(03_segment.py와 동일 필터)
업종중분류(신규가정 대리지표),일반병원,521940982833.5,40978.06198536907,data/processed/02_cleaned.parquet 재집계(03_segment.py와 동일 필터)
업종중분류(신규가정 대리지표),한식,403437013494.25,31674.207410214636,data/processed/02_cleaned.parquet 재집계(03_segment.py와 동일 필터)
업종중분류(신규가정 대리지표),음/식료품소매,305878663088.5,24014.812456374675,data/processed/02_cleaned.parquet 재집계(03_segment.py와 동일 필터)
업종중분류(신규가정 대리지표),제조/도매,213150589858.25,16734.646963363037,data/processed/02_cleaned.parquet 재집계(03_segment.py와 동일 필터)
