영역코드,영역명,q(조건충족일 결제액 비중),r_base,r_streak,r_eff(실효적립률),f(수수료율),g*(무혜택 대비),g*_손익성립(f>r_eff),g*_threshold(50%)충족,"g_기준선(q=0, 기본적립률만)",g_incr(기본적립률 상품 대비 필요 증분이용률),g_incr_threshold(50%)이하,한도도달_월지출_L/r_eff(원)
A,국내외 가맹점,0.0,0.005,0.01,0.005,0.008743497272161517,1.3356494305959443,True,False,1.3356494305959443,0.0,True,
A,국내외 가맹점,0.1,0.005,0.01,0.0055000000000000005,0.008743497272161517,1.6957005166015497,True,False,1.3356494305959443,0.15415459241832283,True,
A,국내외 가맹점,0.2,0.005,0.01,0.006,0.008743497272161517,2.18698959932728,True,False,1.3356494305959443,0.36449826655454665,True,
A,국내외 가맹점,0.3,0.005,0.01,0.0065,0.008743497272161517,2.8972622702311193,True,False,1.3356494305959443,0.6685989854379505,False,
A,국내외 가맹점,0.4,0.005,0.01,0.007,0.008743497272161517,4.0149188139088325,True,False,1.3356494305959443,1.147119661116809,False,
A,국내외 가맹점,0.5,0.005,0.01,0.0075,0.008743497272161517,6.0313763189549086,True,False,1.3356494305959443,2.0104587729849692,False,
A,국내외 가맹점,0.6,0.005,0.01,0.008,0.008743497272161517,10.759958777982025,True,False,1.3356494305959443,4.03498454174326,False,
A,국내외 가맹점,0.7,0.005,0.01,0.008499999999999999,0.008743497272161517,34.907988596938935,True,False,1.3356494305959443,14.373877657563087,False,
A,국내외 가맹점,0.8,0.005,0.01,0.009,0.008743497272161517,inf,False,False,1.3356494305959443,inf,False,
A,국내외 가맹점,0.9,0.005,0.01,0.009500000000000001,0.008743497272161517,inf,False,False,1.3356494305959443,inf,False,
A,국내외 가맹점,1.0,0.005,0.01,0.01,0.008743497272161517,inf,False,False,1.3356494305959443,inf,False,
B,온라인 간편결제,0.0,0.01,0.02,0.01,0.008743497272161517,inf,False,False,inf,inf,False,2000000.0
B,온라인 간편결제,0.1,0.01,0.02,0.011000000000000001,0.008743497272161517,inf,False,False,inf,inf,False,1818181.818181818
B,온라인 간편결제,0.2,0.01,0.02,0.012,0.008743497272161517,inf,False,False,inf,inf,False,1666666.6666666667
B,온라인 간편결제,0.3,0.01,0.02,0.013,0.008743497272161517,inf,False,False,inf,inf,False,1538461.5384615385
B,온라인 간편결제,0.4,0.01,0.02,0.014,0.008743497272161517,inf,False,False,inf,inf,False,1428571.4285714286
B,온라인 간편결제,0.5,0.01,0.02,0.015,0.008743497272161517,inf,False,False,inf,inf,False,1333333.3333333335
B,온라인 간편결제,0.6,0.01,0.02,0.016,0.008743497272161517,inf,False,False,inf,inf,False,1250000.0
B,온라인 간편결제,0.7,0.01,0.02,0.016999999999999998,0.008743497272161517,inf,False,False,inf,inf,False,1176470.5882352942
B,온라인 간편결제,0.8,0.01,0.02,0.018,0.008743497272161517,inf,False,False,inf,inf,False,1111111.1111111112
B,온라인 간편결제,0.9,0.01,0.02,0.019000000000000003,0.008743497272161517,inf,False,False,inf,inf,False,1052631.5789473683
B,온라인 간편결제,1.0,0.01,0.02,0.02,0.008743497272161517,inf,False,False,inf,inf,False,1000000.0
