segment,card_tpbuz_nm_1,월추정매출액,월추정이용건수
cluster0,공공/기업/단체,10645138312.0,209532.75
cluster0,공연/전시,1336168981.75,16302.0
cluster0,미디어/통신,11868584582.0,253361.0
cluster0,생활서비스,109611552468.5,2040863.5
cluster0,소매/유통,402994030513.0,11647380.0
cluster0,여가/오락,10575122628.5,223408.25
cluster0,음식,146077975243.25,5538050.75
cluster0,의료/건강,204924508653.25,3935451.0
cluster0,학문/교육,5916422048.75,58111.25
cluster1,공공/기업/단체,7137133811.0,371000.25
cluster1,공연/전시,708416767.5,17198.25
cluster1,미디어/통신,8705314378.75,267624.0
cluster1,생활서비스,53706526501.75,1816320.5
cluster1,소매/유통,158944076481.75,12113466.75
cluster1,여가/오락,20879492673.5,2098290.5
cluster1,음식,125185455008.75,7235733.0
cluster1,의료/건강,47443888083.25,1100710.5
cluster1,학문/교육,6980973933.5,165996.0
cluster2,공공/기업/단체,70362731334.5,1571666.5
cluster2,공연/전시,13131141856.0,177652.25
cluster2,미디어/통신,96928822312.5,2086634.25
cluster2,생활서비스,789038769812.75,14917324.25
cluster2,소매/유통,1914706092328.75,66826116.5
cluster2,여가/오락,119526002459.5,4235532.25
cluster2,음식,945948858884.25,37737484.25
cluster2,의료/건강,761943296812.5,13109935.5
cluster2,학문/교육,257223834777.5,1285101.25
