## 1. 수수료율 매핑 민감도
업종,시나리오,f,g*(r=0.3%),성립(g*<=threshold)
음식,비관(한 단계 아래),0.004,3.0,False
음식,기본(현재 가정),0.004,3.0,False
음식,낙관(한 단계 위),0.01,0.42857142857142855,True
생활서비스,비관(한 단계 아래),0.004,3.0,False
생활서비스,기본(현재 가정),0.004,3.0,False
생활서비스,낙관(한 단계 위),0.01,0.42857142857142855,True
여가/오락,비관(한 단계 아래),0.004,3.0,False
여가/오락,기본(현재 가정),0.004,3.0,False
여가/오락,낙관(한 단계 위),0.01,0.42857142857142855,True
의료/건강,비관(한 단계 아래),0.004,3.0,False
의료/건강,기본(현재 가정),0.01,0.42857142857142855,True
의료/건강,낙관(한 단계 위),0.0115,0.3529411764705882,True
학문/교육,비관(한 단계 아래),0.004,3.0,False
학문/교육,기본(현재 가정),0.01,0.42857142857142855,True
학문/교육,낙관(한 단계 위),0.0115,0.3529411764705882,True
소매/유통,비관(한 단계 아래),0.01,0.42857142857142855,True
소매/유통,기본(현재 가정),0.0115,0.3529411764705882,True
소매/유통,낙관(한 단계 위),0.0145,0.2608695652173913,True
공연/전시,비관(한 단계 아래),0.0115,0.3529411764705882,True
공연/전시,기본(현재 가정),0.0145,0.2608695652173913,True
공연/전시,낙관(한 단계 위),0.0208,0.16853932584269662,True
미디어/통신,비관(한 단계 아래),0.0145,0.2608695652173913,True
미디어/통신,기본(현재 가정),0.0208,0.16853932584269662,True
미디어/통신,낙관(한 단계 위),0.0208,0.16853932584269662,True
공공/기업/단체,비관(한 단계 아래),0.0145,0.2608695652173913,True
공공/기업/단체,기본(현재 가정),0.0208,0.16853932584269662,True
공공/기업/단체,낙관(한 단계 위),0.0208,0.16853932584269662,True

## 2. 유입형 상권 포함/제외 비교
card_tpbuz_nm_1,"포함(유입형 상권 O, %)","제외(유입형 상권 X, 본 분석 기준, %)",차이(%p)
미디어/통신,22.16976294846963,1.864397418305494,20.305365530164135
생활서비스,28.852020772673097,15.110898121648841,13.741122651024256
소매/유통,25.626299990262325,39.296528635640996,-13.670228645378671
음식,10.330904903968884,19.31331823471544,-8.982413330746555
의료/건강,8.554788225702215,16.093926015655107,-7.539137789952893
학문/교육,2.313615731188503,4.285971591133101,-1.9723558599445976
여가/오락,1.284308610807173,2.395585999358392,-1.111277388551219
공공/기업/단체,0.7356546680587844,1.398583071965874,-0.6629284039070896
공연/전시,0.13264414886939,0.24079091157675744,-0.10814676270736745

## 3. k(클러스터 수) 민감도
k,cluster,구성원수,1위업종
3,0,7,소매/유통
3,1,4,소매/유통
3,2,7,소매/유통
4,0,6,소매/유통
4,1,7,소매/유통
4,2,4,소매/유통
4,3,1,소매/유통
5,0,5,소매/유통
5,1,4,소매/유통
5,2,6,소매/유통
5,3,1,소매/유통
5,4,2,소매/유통

## 4a. 탄력성 배수 스윕
탄력성_배수,탄력성기준_성립_건수,두기준_모두_성립_건수,전체_조합수
0.5,0,0,222
1.0,6,6,222
1.5,18,10,222
2.0,34,17,222
3.0,61,23,222
5.0,102,34,222
7.0,129,36,222
10.0,154,39,222

## 4b. 세그먼트 1위 업종 성립에 필요한 탄력성 배수
세그먼트,1위업종,r,g*(필요증분이용률),가정_탄력성계수,성립에_필요한_탄력성계수,필요배수(가정치대비)
cluster0,소매/유통,0.003,0.3529411764705882,0.05,0.3529411764705882,7.058823529411764
cluster1,소매/유통,0.003,0.3529411764705882,0.2,0.3529411764705882,1.764705882352941
cluster2,소매/유통,0.003,0.3529411764705882,0.1,0.3529411764705882,3.529411764705882
