영역명,업종매핑(사용자가정),"f(수수료율,가정)",상품유형,r(명목최대혜택률),g*(명목),성립불가(r>=f),비고
국내외 가맹점,전가맹점,,범용형,0.01,,,"업종매핑 불가(전가맹점) — 단일 f 배정 불가, 계산4에서 별도 처리"
국내외 가맹점,전가맹점,,특화형,0.008,,,"업종매핑 불가(전가맹점) — 단일 f 배정 불가, 계산4에서 별도 처리"
국내외 가맹점,전가맹점,,혼합형,,,,CSV에 혜택률 값 없음 — 추정하지 않음
간편결제,전가맹점,,범용형,0.012,,,"업종매핑 불가(전가맹점) — 단일 f 배정 불가, 계산4에서 별도 처리"
간편결제,전가맹점,,특화형,0.05,,,"업종매핑 불가(전가맹점) — 단일 f 배정 불가, 계산4에서 별도 처리"
간편결제,전가맹점,,혼합형,0.05,,,"업종매핑 불가(전가맹점) — 단일 f 배정 불가, 계산4에서 별도 처리"
음식점 Day,음식,0.004,범용형,0.02,inf,True,
음식점 Day,음식,0.004,특화형,0.05,inf,True,
음식점 Day,음식,0.004,혼합형,0.05,inf,True,
음식점 Night,음식,0.004,범용형,0.02,inf,True,
음식점 Night,음식,0.004,특화형,0.05,inf,True,
음식점 Night,음식,0.004,혼합형,0.05,inf,True,
딜리버리,음식,0.004,범용형,0.03,inf,True,
딜리버리,음식,0.004,특화형,0.1,inf,True,
딜리버리,음식,0.004,혼합형,0.1,inf,True,
하나페이 맛집,음식,0.004,범용형,0.03,inf,True,
하나페이 맛집,음식,0.004,특화형,0.3,inf,True,
하나페이 맛집,음식,0.004,혼합형,0.2,inf,True,
패스트푸드,음식,0.004,범용형,0.04,inf,True,
패스트푸드,음식,0.004,특화형,0.3,inf,True,
패스트푸드,음식,0.004,혼합형,0.2,inf,True,
베이커리,음식,0.004,범용형,0.04,inf,True,
베이커리,음식,0.004,특화형,0.3,inf,True,
베이커리,음식,0.004,혼합형,0.2,inf,True,
커피,음식,0.004,범용형,0.04,inf,True,
커피,음식,0.004,특화형,0.3,inf,True,
커피,음식,0.004,혼합형,0.2,inf,True,
쿠팡,소매/유통,0.0115,범용형,0.02,inf,True,
쿠팡,소매/유통,0.0115,특화형,0.1,inf,True,
쿠팡,소매/유통,0.0115,혼합형,0.05,inf,True,
네이버플러스 스토어,소매/유통,0.0115,범용형,0.02,inf,True,
네이버플러스 스토어,소매/유통,0.0115,특화형,0.1,inf,True,
네이버플러스 스토어,소매/유통,0.0115,혼합형,0.05,inf,True,
오픈마켓,소매/유통,0.0115,범용형,0.02,inf,True,
오픈마켓,소매/유통,0.0115,특화형,0.1,inf,True,
오픈마켓,소매/유통,0.0115,혼합형,0.1,inf,True,
온라인식품&쇼핑,소매/유통,0.0115,범용형,0.02,inf,True,
온라인식품&쇼핑,소매/유통,0.0115,특화형,0.1,inf,True,
온라인식품&쇼핑,소매/유통,0.0115,혼합형,0.1,inf,True,
신세계백화점,소매/유통,0.0115,범용형,0.02,inf,True,
신세계백화점,소매/유통,0.0115,특화형,0.1,inf,True,
신세계백화점,소매/유통,0.0115,혼합형,0.05,inf,True,
롯데백화점,소매/유통,0.0115,범용형,0.02,inf,True,
롯데백화점,소매/유통,0.0115,특화형,0.1,inf,True,
롯데백화점,소매/유통,0.0115,혼합형,0.05,inf,True,
현대백화점,소매/유통,0.0115,범용형,0.02,inf,True,
