항목,시나리오,대상영역,f(수수료율),명목g*_성립불가(r>=f)_비율,한도반영_배수<=1_건수,전체건수,실적대비배수_중앙값,비고
1. 업종매핑 민감도 — 주유·대중교통,기존매핑: 생활서비스(0.40%),"주유/LPG충전, 대중교통",0.004,1.0,0,12,7.5,업종매핑은 사용자 가정치 — 이 행은 그 가정을 흔든 결과
1. 업종매핑 민감도 — 주유·대중교통,대안매핑: 일반구간(2.08%),"주유/LPG충전, 대중교통",0.0208,1.0,0,12,1.4423076923076925,업종매핑은 사용자 가정치 — 이 행은 그 가정을 흔든 결과
1. 업종매핑 민감도 — 백화점3사·면세점,기존매핑: 소매/유통(1.15%),"신세계백화점, 롯데백화점, 현대백화점, 면세점",0.0115,1.0,0,24,2.608695652173913,업종매핑은 사용자 가정치 — 이 행은 그 가정을 흔든 결과
1. 업종매핑 민감도 — 백화점3사·면세점,대안매핑: 일반구간(2.08%),"신세계백화점, 롯데백화점, 현대백화점, 면세점",0.0208,0.6666666666666666,0,24,1.4423076923076925,업종매핑은 사용자 가정치 — 이 행은 그 가정을 흔든 결과
2. 전가맹점 영역 처리 (단일 업종 매핑 불가),제안: 소비구성비 가중평균 f(0.87%),"국내외 가맹점, 간편결제",0.008743497272161517,0.8,0,6,2.859267776018834,"실측 업종별 매출비중 가중평균 (비중 상위: 소매/유통 39.3%, 음식 19.3%, 의료/건강 16.1%, 생활서비스 15.1%)"
2. 전가맹점 영역 처리 (단일 업종 매핑 불가),하한 대조: 최저요율 업종(0.40%),"국내외 가맹점, 간편결제",0.004,1.0,0,6,6.25,가중평균 f가 어느 범위 안에 있는지 확인용
2. 전가맹점 영역 처리 (단일 업종 매핑 불가),상한 대조: 최고요율 업종(2.08%),"국내외 가맹점, 간편결제",0.0208,0.4,0,6,1.201923076923077,가중평균 f가 어느 범위 안에 있는지 확인용
3. threshold 민감도,threshold=50% / 범용형,전체 56개 영역 중 업종매핑 가능분,,1.0,0,0,,명목 성립불가 비율은 r>=f 여부만 보므로 threshold와 무관 — 안 변하는 게 정상
3. threshold 민감도,threshold=50% / 특화형,전체 56개 영역 중 업종매핑 가능분,,1.0,0,162,6.25,명목 성립불가 비율은 r>=f 여부만 보므로 threshold와 무관 — 안 변하는 게 정상
3. threshold 민감도,threshold=50% / 혼합형,전체 56개 영역 중 업종매핑 가능분,,1.0,0,162,6.25,명목 성립불가 비율은 r>=f 여부만 보므로 threshold와 무관 — 안 변하는 게 정상
3. threshold 민감도,threshold=50% / 전체,전체 56개 영역 중 업종매핑 가능분,,1.0,0,324,6.25,명목 성립불가 비율은 r>=f 여부만 보므로 threshold와 무관 — 안 변하는 게 정상
3. threshold 민감도,threshold=70% / 범용형,전체 56개 영역 중 업종매핑 가능분,,1.0,0,0,,명목 성립불가 비율은 r>=f 여부만 보므로 threshold와 무관 — 안 변하는 게 정상
3. threshold 민감도,threshold=70% / 특화형,전체 56개 영역 중 업종매핑 가능분,,1.0,0,162,5.05952380952381,명목 성립불가 비율은 r>=f 여부만 보므로 threshold와 무관 — 안 변하는 게 정상
3. threshold 민감도,threshold=70% / 혼합형,전체 56개 영역 중 업종매핑 가능분,,1.0,0,162,5.05952380952381,명목 성립불가 비율은 r>=f 여부만 보므로 threshold와 무관 — 안 변하는 게 정상
3. threshold 민감도,threshold=70% / 전체,전체 56개 영역 중 업종매핑 가능분,,1.0,0,324,5.05952380952381,명목 성립불가 비율은 r>=f 여부만 보므로 threshold와 무관 — 안 변하는 게 정상
3. threshold 민감도,threshold=100% / 범용형,전체 56개 영역 중 업종매핑 가능분,,1.0,0,0,,명목 성립불가 비율은 r>=f 여부만 보므로 threshold와 무관 — 안 변하는 게 정상
3. threshold 민감도,threshold=100% / 특화형,전체 56개 영역 중 업종매핑 가능분,,1.0,6,162,4.166666666666667,명목 성립불가 비율은 r>=f 여부만 보므로 threshold와 무관 — 안 변하는 게 정상
3. threshold 민감도,threshold=100% / 혼합형,전체 56개 영역 중 업종매핑 가능분,,1.0,6,162,4.166666666666667,명목 성립불가 비율은 r>=f 여부만 보므로 threshold와 무관 — 안 변하는 게 정상
3. threshold 민감도,threshold=100% / 전체,전체 56개 영역 중 업종매핑 가능분,,1.0,12,324,4.166666666666667,명목 성립불가 비율은 r>=f 여부만 보므로 threshold와 무관 — 안 변하는 게 정상
