업종,f(명목 가맹점수수료율),"c(대행수수료율, 가정)",r(혜택률),a*_할인가능(f_eff>r),a*_threshold충족,판정_할인가능,판정_threshold,실측a(37.8%)와의 격차_할인가능(%p),실측a(37.8%)와의 격차_threshold(%p),전년a(16.2%)에서_할인가능했나,현재a(37.8%)에서_할인가능한가
음식,0.004,0.0005,0.003,-1.0,11.000000000000002,결제망 무관하게 이미 성립,독자망 100%로도 불가,-137.8,1062.2000000000003,True,True
음식,0.004,0.0005,0.004,1.0,17.0,독자망 추가 전환 필요,독자망 100%로도 불가,62.2,1662.2,False,False
음식,0.004,0.0005,0.005,3.0,23.0,독자망 100%로도 불가,독자망 100%로도 불가,262.2,2262.2,False,False
음식,0.004,0.0005,0.006,5.0,29.000000000000004,독자망 100%로도 불가,독자망 100%로도 불가,462.2,2862.2000000000003,False,False
음식,0.004,0.0005,0.007,7.0,35.0,독자망 100%로도 불가,독자망 100%로도 불가,662.2,3462.2,False,False
음식,0.004,0.0005,0.008,9.0,41.0,독자망 100%로도 불가,독자망 100%로도 불가,862.2,4062.2,False,False
음식,0.004,0.0005,0.009,10.999999999999998,46.99999999999999,독자망 100%로도 불가,독자망 100%로도 불가,1062.1999999999998,4662.199999999999,False,False
음식,0.004,0.0005,0.01,13.0,53.0,독자망 100%로도 불가,독자망 100%로도 불가,1262.2,5262.2,False,False
음식,0.004,0.0005,0.011,14.999999999999998,59.0,독자망 100%로도 불가,독자망 100%로도 불가,1462.1999999999998,5862.2,False,False
음식,0.004,0.0005,0.012,17.0,65.0,독자망 100%로도 불가,독자망 100%로도 불가,1662.2,6462.2,False,False
음식,0.004,0.0005,0.013,19.0,71.0,독자망 100%로도 불가,독자망 100%로도 불가,1862.2,7062.2,False,False
음식,0.004,0.0005,0.014,21.0,77.00000000000001,독자망 100%로도 불가,독자망 100%로도 불가,2062.2,7662.200000000002,False,False
음식,0.004,0.0005,0.015,23.0,82.99999999999999,독자망 100%로도 불가,독자망 100%로도 불가,2262.2,8262.199999999999,False,False
음식,0.004,0.0005,0.016,25.0,89.0,독자망 100%로도 불가,독자망 100%로도 불가,2462.2,8862.2,False,False
음식,0.004,0.0005,0.017,27.0,95.0,독자망 100%로도 불가,독자망 100%로도 불가,2662.2,9462.2,False,False
음식,0.004,0.0005,0.018,28.999999999999996,100.99999999999997,독자망 100%로도 불가,독자망 100%로도 불가,2862.2,10062.199999999997,False,False
음식,0.004,0.0005,0.019,31.0,106.99999999999999,독자망 100%로도 불가,독자망 100%로도 불가,3062.2,10662.199999999999,False,False
음식,0.004,0.0005,0.02,33.0,112.99999999999999,독자망 100%로도 불가,독자망 100%로도 불가,3262.2,11262.199999999999,False,False
음식,0.004,0.001,0.003,0.0,6.000000000000001,결제망 무관하게 이미 성립,독자망 100%로도 불가,-37.8,562.2,True,True
음식,0.004,0.001,0.004,1.0,9.0,독자망 추가 전환 필요,독자망 100%로도 불가,62.2,862.2,False,False
음식,0.004,0.001,0.005,2.0,12.0,독자망 100%로도 불가,독자망 100%로도 불가,162.2,1162.2,False,False
음식,0.004,0.001,0.006,3.0,15.000000000000002,독자망 100%로도 불가,독자망 100%로도 불가,262.2,1462.2000000000003,False,False
음식,0.004,0.001,0.007,4.0,18.0,독자망 100%로도 불가,독자망 100%로도 불가,362.2,1762.2,False,False
음식,0.004,0.001,0.008,5.0,21.0,독자망 100%로도 불가,독자망 100%로도 불가,462.2,2062.2,False,False
