업종,f(명목 가맹점수수료율),"c(대행수수료율, 가정)",a(독자망결제비중),f_eff(실효수수료율),r(혜택률),g*_명목f기준(기존모델),g*_f_eff기준(이원결제망),성립_유한(f_eff>r),성립_threshold
음식,0.004,0.0005,0.0,0.0035,0.003,3.0,6.0,True,False
음식,0.004,0.0005,0.0,0.0035,0.004,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.005,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.006,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.007,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.008,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.009,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.01,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.011,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.012,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.013,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.014,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.015,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.016,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.017,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.018,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.019,inf,inf,False,False
음식,0.004,0.0005,0.0,0.0035,0.02,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.003,3.0,5.714285714285716,True,False
음식,0.004,0.0005,0.05,0.003525,0.004,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.005,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.006,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.007,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.008,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.009,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.01,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.011,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.012,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.013,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.014,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.015,inf,inf,False,False
음식,0.004,0.0005,0.05,0.003525,0.016,inf,inf,False,False
