업종,"c(대행수수료율, 가정)",r(기준혜택률),월추정매출액(경기도데이터 대입),현재a에서 월 대행수수료 유출액(원),f(명목),f_eff(현재a),a*_할인가능,남은격차_할인가능(%p),a*_threshold충족,남은격차_threshold(%p),g*(현재a),a 1%p 전환당 g* 변화(%p),판정_할인가능,판정_threshold
미디어/통신,0.0005,0.003,117502721273,36543346,0.0208,0.020489,-34.6,-3497.8,-22.599999999999994,-2297.7999999999993,0.1715363943049917,-0.004904122428526264,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
공공/기업/단체,0.0005,0.003,88145003458,27413096,0.0208,0.020489,-34.6,-3497.8,-22.599999999999994,-2297.7999999999993,0.1715363943049917,-0.004904122428526264,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
공연/전시,0.0005,0.003,15175727605,4719651,0.0145,0.014189,-22.0,-2237.8,-10.0,-1037.8,0.2681204754669765,-0.011981431560772922,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
소매/유통,0.0005,0.003,2476644199324,770236346,0.0115,0.011189,-16.0,-1637.8,-3.9999999999999973,-437.7999999999997,0.3663450970814508,-0.022368121692602935,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
의료/건강,0.0005,0.003,1014311693549,315450937,0.01,0.009689,-13.0,-1337.8,-0.9999999999999982,-137.79999999999984,0.44849753326356706,-0.033525006223917415,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
학문/교육,0.0005,0.003,270121230760,84007703,0.01,0.009689,-13.0,-1337.8,-0.9999999999999982,-137.79999999999984,0.44849753326356706,-0.033525006223917415,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
음식,0.0005,0.003,1217212289136,378553022,0.004,0.003689,-1.0,-137.8,11.000000000000002,1062.2000000000003,4.354136429608128,-3.159750674606769,결제망 무관하게 이미 성립,독자망 100%로도 불가
생활서비스,0.0005,0.003,952356848783,296182980,0.004,0.003689,-1.0,-137.8,11.000000000000002,1062.2000000000003,4.354136429608128,-3.159750674606769,결제망 무관하게 이미 성립,독자망 100%로도 불가
여가/오락,0.0005,0.003,150980617762,46954972,0.004,0.003689,-1.0,-137.8,11.000000000000002,1062.2000000000003,4.354136429608128,-3.159750674606769,결제망 무관하게 이미 성립,독자망 100%로도 불가
미디어/통신,0.001,0.003,117502721273,73086693,0.0208,0.020177999999999998,-16.8,-1717.8000000000002,-10.799999999999997,-1117.7999999999997,0.1746419839329375,-0.010166607517344132,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
공공/기업/단체,0.001,0.003,88145003458,54826192,0.0208,0.020177999999999998,-16.8,-1717.8000000000002,-10.799999999999997,-1117.7999999999997,0.1746419839329375,-0.010166607517344132,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
공연/전시,0.001,0.003,15175727605,9439303,0.0145,0.013878000000000001,-10.5,-1087.8,-4.5,-487.8,0.2757859900717043,-0.025352637439943395,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
소매/유통,0.001,0.003,2476644199324,1540472692,0.0115,0.010878,-7.5,-787.8,-1.4999999999999987,-187.79999999999987,0.38080731150038083,-0.048338069497382695,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
의료/건강,0.001,0.003,1014311693549,630901873,0.01,0.009378000000000001,-6.0,-637.8,8.881784197001252e-16,-37.79999999999991,0.47036688617121347,-0.0737483358688011,결제망 무관하게 이미 성립,현재 독자망 비중으로 성립
학문/교육,0.001,0.003,270121230760,168015406,0.01,0.009378000000000001,-6.0,-637.8,8.881784197001252e-16,-37.79999999999991,0.47036688617121347,-0.0737483358688011,결제망 무관하게 이미 성립,현재 독자망 비중으로 성립
음식,0.001,0.003,1217212289136,757106044,0.004,0.003378,0.0,-37.8,6.000000000000001,562.2,7.936507936507939,-20.996052742084505,결제망 무관하게 이미 성립,독자망 100%로도 불가
생활서비스,0.001,0.003,952356848783,592365960,0.004,0.003378,0.0,-37.8,6.000000000000001,562.2,7.936507936507939,-20.996052742084505,결제망 무관하게 이미 성립,독자망 100%로도 불가
여가/오락,0.001,0.003,150980617762,93909944,0.004,0.003378,0.0,-37.8,6.000000000000001,562.2,7.936507936507939,-20.996052742084505,결제망 무관하게 이미 성립,독자망 100%로도 불가
미디어/통신,0.0015,0.003,117502721273,109630039,0.0208,0.019867,-10.866666666666667,-1124.4666666666667,-6.866666666666665,-724.4666666666666,0.17786209758700422,-0.015817462879024503,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
공공/기업/단체,0.0015,0.003,88145003458,82239288,0.0208,0.019867,-10.866666666666667,-1124.4666666666667,-6.866666666666665,-724.4666666666666,0.17786209758700422,-0.015817462879024503,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
공연/전시,0.0015,0.003,15175727605,14158954,0.0145,0.013567000000000001,-6.666666666666666,-704.4666666666666,-2.6666666666666665,-304.46666666666664,0.28390271600264977,-0.0403003760768406,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
소매/유통,0.0015,0.003,2476644199324,2310709038,0.0115,0.010567,-4.666666666666667,-504.4666666666667,-0.6666666666666659,-104.46666666666657,0.39645830580150654,-0.07858959411950044,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
의료/건강,0.0015,0.003,1014311693549,946352810,0.01,0.009067,-3.666666666666667,-404.4666666666667,0.3333333333333339,-4.466666666666608,0.4944783253667381,-0.12225440712874684,결제망 무관하게 이미 성립,현재 독자망 비중으로 성립
학문/교육,0.0015,0.003,270121230760,252023108,0.01,0.009067,-3.666666666666667,-404.4666666666667,0.3333333333333339,-4.466666666666608,0.4944783253667381,-0.12225440712874684,결제망 무관하게 이미 성립,현재 독자망 비중으로 성립
음식,0.0015,0.003,1217212289136,1135659066,0.004,0.0030670000000000003,0.33333333333333337,-4.466666666666663,4.333333333333334,395.53333333333336,44.77611940298493,-1002.4504343951817,현재 독자망 비중으로 성립,독자망 100%로도 불가
생활서비스,0.0015,0.003,952356848783,888548940,0.004,0.0030670000000000003,0.33333333333333337,-4.466666666666663,4.333333333333334,395.53333333333336,44.77611940298493,-1002.4504343951817,현재 독자망 비중으로 성립,독자망 100%로도 불가
여가/오락,0.0015,0.003,150980617762,140864916,0.004,0.0030670000000000003,0.33333333333333337,-4.466666666666663,4.333333333333334,395.53333333333336,44.77611940298493,-1002.4504343951817,현재 독자망 비중으로 성립,독자망 100%로도 불가
미디어/통신,0.001942,0.003,117502721273,141934357,0.0208,0.019592076,-8.165808444902163,-854.3808444902163,-5.076210092687949,-545.4210092687949,0.18080920072931198,-0.021162600015593218,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
공공/기업/단체,0.001942,0.003,88145003458,106472465,0.0208,0.019592076,-8.165808444902163,-854.3808444902163,-5.076210092687949,-545.4210092687949,0.18080920072931198,-0.021162600015593218,결제망 무관하게 이미 성립,결제망 무관하게 이미 성립
