"c(대행수수료율, 가정)",threshold,판정이 뒤집힌 업종 수,판정이 뒤집힌 업종
0.0005,0.45,0,(없음)
0.0005,0.46,0,(없음)
0.0005,0.47,0,(없음)
0.0005,0.48,0,(없음)
0.0005,0.49,0,(없음)
0.0005,0.5,0,(없음)
0.0005,0.51,0,(없음)
0.0005,0.52,0,(없음)
0.0005,0.53,0,(없음)
0.0005,0.54,0,(없음)
0.0005,0.55,0,(없음)
0.0005,0.56,0,(없음)
0.0005,0.57,0,(없음)
0.0005,0.58,0,(없음)
0.0005,0.59,0,(없음)
0.0005,0.6,0,(없음)
0.001,0.45,2,의료/건강; 학문/교육
0.001,0.46,2,의료/건강; 학문/교육
0.001,0.47,2,의료/건강; 학문/교육
0.001,0.48,0,(없음)
0.001,0.49,0,(없음)
0.001,0.5,0,(없음)
0.001,0.51,0,(없음)
0.001,0.52,0,(없음)
0.001,0.53,0,(없음)
0.001,0.54,0,(없음)
0.001,0.55,0,(없음)
0.001,0.56,0,(없음)
0.001,0.57,0,(없음)
0.001,0.58,0,(없음)
0.001,0.59,0,(없음)
0.001,0.6,0,(없음)
0.0015,0.45,2,의료/건강; 학문/교육
0.0015,0.46,2,의료/건강; 학문/교육
0.0015,0.47,2,의료/건강; 학문/교육
0.0015,0.48,2,의료/건강; 학문/교육
0.0015,0.49,2,의료/건강; 학문/교육
0.0015,0.5,0,(없음)
0.0015,0.51,0,(없음)
0.0015,0.52,0,(없음)
0.0015,0.53,0,(없음)
0.0015,0.54,0,(없음)
0.0015,0.55,0,(없음)
0.0015,0.56,0,(없음)
0.0015,0.57,0,(없음)
0.0015,0.58,0,(없음)
0.0015,0.59,0,(없음)
0.0015,0.6,0,(없음)
0.001942,0.45,2,의료/건강; 학문/교육
0.001942,0.46,2,의료/건강; 학문/교육
0.001942,0.47,2,의료/건강; 학문/교육
0.001942,0.48,2,의료/건강; 학문/교육
0.001942,0.49,2,의료/건강; 학문/교육
0.001942,0.5,2,의료/건강; 학문/교육
0.001942,0.51,2,의료/건강; 학문/교육
0.001942,0.52,0,(없음)
0.001942,0.53,0,(없음)
0.001942,0.54,0,(없음)
0.001942,0.55,0,(없음)
0.001942,0.56,0,(없음)
0.001942,0.57,0,(없음)
0.001942,0.58,0,(없음)
0.001942,0.59,0,(없음)
0.001942,0.6,0,(없음)
0.002,0.45,2,의료/건강; 학문/교육
0.002,0.46,2,의료/건강; 학문/교육
0.002,0.47,2,의료/건강; 학문/교육
0.002,0.48,2,의료/건강; 학문/교육
0.002,0.49,2,의료/건강; 학문/교육
0.002,0.5,2,의료/건강; 학문/교육
0.002,0.51,2,의료/건강; 학문/교육
0.002,0.52,2,의료/건강; 학문/교육
0.002,0.53,0,(없음)
0.002,0.54,0,(없음)
0.002,0.55,0,(없음)
0.002,0.56,0,(없음)
0.002,0.57,0,(없음)
0.002,0.58,0,(없음)
0.002,0.59,0,(없음)
0.002,0.6,0,(없음)
0.0025,0.45,2,의료/건강; 학문/교육
0.0025,0.46,2,의료/건강; 학문/교육
0.0025,0.47,2,의료/건강; 학문/교육
0.0025,0.48,2,의료/건강; 학문/교육
0.0025,0.49,2,의료/건강; 학문/교육
0.0025,0.5,2,의료/건강; 학문/교육
0.0025,0.51,2,의료/건강; 학문/교육
0.0025,0.52,2,의료/건강; 학문/교육
0.0025,0.53,2,의료/건강; 학문/교육
0.0025,0.54,2,의료/건강; 학문/교육
0.0025,0.55,2,의료/건강; 학문/교육
0.0025,0.56,0,(없음)
0.0025,0.57,0,(없음)
0.0025,0.58,0,(없음)
0.0025,0.59,0,(없음)
0.0025,0.6,0,(없음)
